City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
517,khovd,48.0056,91.6419,16.5,46,0,4.27,MN,2024-08-25 15:37:52
518,youghal,51.95,-7.8506,18.07,68,44,9.27,IE,2024-08-25 15:37:52
519,mocimboa,-11.3167,40.35,24.3,75,87,5.88,MZ,2024-08-25 15:37:53
520,arno,60.1167,18.6333,19.17,47,100,8.86,SE,2024-08-25 15:37:53
521,lys'va,58.1086,57.8053,13.85,79,78,0.66,RU,2024-08-25 15:37:53
522,juneau,58.3019,-134.4197,12.0,98,100,10.29,US,2024-08-25 15:37:53
523,ulladulla,-35.35,150.4667,18.98,64,6,9.39,AU,2024-08-25 15:37:53
524,sinop,41.7711,34.8709,19.82,84,4,1.99,TR,2024-08-25 15:37:53
525,jacmel,18.2342,-72.5347,30.45,65,7,3.34,HT,2024-08-25 15:37:53
526,colonia,50.9333,6.95,23.87,37,6,0.45,DE,2024-08-25 15:37:53
527,glendive,47.1053,-104.7125,26.22,33,33,7.54,US,2024-08-25 15:37:54
528,semey,50.4111,80.2275,16.12,72,0,4.0,KZ,2024-08-25 15:37:54
529,cambria,35.5641,-121.0808,19.63,56,0,1.53,US,2024-08-25 15:37:54
530,novaya mayna,54.15,49.75,19.65,76,61,2.49,RU,2024-08-25 15:37:54
531,shushenskoye,53.325,91.9356,15.24,92,92,2.74,RU,2024-08-25 15:37:54
532,changyon,38.2508,125.0961,23.06,76,78,1.02,KP,2024-08-25 15:37:54
533,lamia,38.9,22.4333,31.71,45,37,2.65,GR,2024-08-25 15:37:54
534,sant lluis,39.8526,4.2594,27.22,78,40,8.23,ES,2024-08-25 15:37:54
535,agaro,7.85,36.65,17.25,96,97,1.16,ET,2024-08-25 15:37:55
536,goba,7.0167,39.9833,10.88,95,99,2.14,ET,2024-08-25 15:37:55
537,dorado,18.4588,-66.2677,32.74,73,0,1.79,PR,2024-08-25 15:37:55
538,shillong,25.5689,91.8831,18.63,97,72,2.9,IN,2024-08-25 15:37:55
539,kavaratti,10.5669,72.642,26.86,85,100,6.26,IN,2024-08-25 15:37:55
540,belyy yar,53.6039,91.3903,17.94,77,40,3.0,RU,2024-08-25 15:37:55
541,nguigmi,14.2495,13.1092,34.72,41,99,5.85,NE,2024-08-25 15:37:55
542,fort mcmurray,56.7268,-111.381,12.77,82,100,6.69,CA,2024-08-25 15:37:28
543,roma,43.2128,-75.4557,25.38,61,21,0.89,US,2024-08-25 15:37:56
544,zhangye,38.9342,100.4517,21.76,58,13,2.17,CN,2024-08-25 15:37:56
545,mogadishu,2.0371,45.3438,25.93,83,75,7.72,SO,2024-08-25 15:37:56
546,taguatinga,-12.3857,-46.5711,36.62,13,0,2.74,BR,2024-08-25 15:37:56
547,ribeira brava,32.65,-17.0667,27.29,55,18,0.98,PT,2024-08-25 15:37:56
548,mirnyy,62.5353,113.9611,10.01,87,11,1.99,RU,2024-08-25 15:37:56
549,vadso,70.0744,29.7487,14.09,72,95,6.17,NO,2024-08-25 15:37:56
550,labrador city,52.9463,-66.9114,23.99,46,40,2.68,CA,2024-08-25 15:37:57
551,callao,-12.0667,-77.15,23.73,88,100,2.57,PE,2024-08-25 15:36:40
552,san pedro,14.35,121.0167,25.57,95,100,2.57,PH,2024-08-25 15:37:57
553,mpulungu,-8.7623,31.1141,25.47,34,69,1.53,ZM,2024-08-25 15:34:13
554,oranjemund,-28.55,16.4333,14.15,72,1,6.24,NA,2024-08-25 15:37:57
555,morales,2.757,-76.6172,25.99,43,47,1.57,CO,2024-08-25 15:37:57
556,ad dabbah,18.05,30.95,36.65,32,74,4.86,SD,2024-08-25 15:37:57
557,byron bay,-28.65,153.6167,18.0,84,4,4.66,AU,2024-08-25 15:37:57
558,embi,48.8264,58.1442,23.36,32,64,3.56,KZ,2024-08-25 15:37:57
559,saint-amand-montrond,46.75,2.5,21.82,35,46,1.9,FR,2024-08-25 15:37:57
560,tolanaro,-25.0319,46.9987,21.04,73,20,9.26,MG,2024-08-25 15:37:58
561,ola,59.5833,151.2833,10.05,85,37,1.31,RU,2024-08-25 15:37:58
562,bubaque,11.2833,-15.8333,26.12,80,100,3.85,GW,2024-08-25 15:37:58
563,al qusiyah,27.4402,30.8184,37.85,16,0,3.83,EG,2024-08-25 15:37:58
564,kourou,5.1552,-52.6478,31.98,52,74,4.8,GF,2024-08-25 15:37:58
565,taulaga,-11.0553,-171.0883,27.56,78,17,6.5,AS,2024-08-25 15:37:58
566,beloyarskiy,63.7119,66.6722,12.55,74,5,0.4,RU,2024-08-25 15:37:58
567,undurkhaan,47.3194,110.6556,17.22,64,21,1.87,MN,2024-08-25 15:37:58
568,ohara,35.25,140.3833,26.38,85,58,3.83,JP,2024-08-25 15:37:59
569,cerro azul,21.2,-97.7333,27.38,72,0,1.29,MX,2024-08-25 15:37:59
570,eyl,7.9803,49.8164,26.16,74,100,11.75,SO,2024-08-25 15:37:59
571,malango,-2.9627,119.9001,19.61,99,99,0.72,ID,2024-08-25 15:37:59
